retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25only,RQ1_context_length,2 vs 3,top2 - top3,bleu,233,9.021802646375746e-05,9.021802646375746e-05,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,bertscore,233,2.09701023876624e-09,2.09701023876624e-09,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rouge1,233,3.516534110047076e-05,3.516534110047076e-05,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rouge2,233,0.00021959302776424996,0.00021959302776424996,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rougeL,233,0.0032283277636782647,0.0032283277636782647,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,bleu,233,0.00023824459077764103,0.00023824459077764103,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,bertscore,233,5.788887254912335e-07,5.788887254912335e-07,True
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rouge1,233,0.029488938741255338,0.029488938741255338,True
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rouge2,233,0.14704320175595645,0.14704320175595645,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rougeL,233,0.2746634353230193,0.2746634353230193,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,bleu,233,0.16318516374265446,0.16318516374265446,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,bertscore,233,2.1746699955115836e-05,2.1746699955115836e-05,True
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rouge1,233,0.4294825286681655,0.4294825286681655,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rouge2,233,0.96844876156063,0.96844876156063,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rougeL,233,0.8101103935527032,0.8101103935527032,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,bleu,233,0.885523686657806,0.885523686657806,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,bertscore,233,0.3420062238293371,0.3420062238293371,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rouge1,233,0.24353747598123435,0.24353747598123435,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rouge2,233,0.05600220260053106,0.05600220260053106,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rougeL,233,0.08127364958423064,0.08127364958423064,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,bleu,233,0.03343514224000458,0.03343514224000458,True
BM25only,RQ1_context_length,3 vs 5,top3 - top5,bertscore,233,0.14472254503122498,0.14472254503122498,False
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rouge1,233,0.040214437478067945,0.040214437478067945,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rouge2,233,0.03374040366077619,0.03374040366077619,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rougeL,233,0.09264488929485397,0.09264488929485397,False
BM25only,RQ1_context_length,4 vs 5,top4 - top5,bleu,233,0.03048047024192096,0.03048047024192096,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,bertscore,233,0.5113904060130416,0.5113904060130416,False
BM25+ColBERT,Baseline_vs_WithContext,1,sequential_top1 - baseline,rouge1,233,5.876378862862397e-42,5.876378862862397e-42,True
BM25+ColBERT,Baseline_vs_WithContext,1,sequential_top1 - baseline,rouge2,233,6.536545344773368e-34,6.536545344773368e-34,True
BM25+ColBERT,Baseline_vs_WithContext,1,sequential_top1 - baseline,rougeL,233,3.679856291629887e-31,3.679856291629887e-31,True
BM25+ColBERT,Baseline_vs_WithContext,1,sequential_top1 - baseline,bleu,233,2.7223126045642948e-27,2.7223126045642948e-27,True
BM25+ColBERT,Baseline_vs_WithContext,1,sequential_top1 - baseline,bertscore,233,1.0280525485688402e-34,1.0280525485688402e-34,True
BM25+ColBERT,Baseline_vs_WithContext,2,sequential_top2 - baseline,rouge1,233,1.6885325528807637e-50,1.6885325528807637e-50,True
BM25+ColBERT,Baseline_vs_WithContext,2,sequential_top2 - baseline,rouge2,233,1.1256997386633102e-41,1.1256997386633102e-41,True
BM25+ColBERT,Baseline_vs_WithContext,2,sequential_top2 - baseline,rougeL,233,3.3063224910835434e-35,3.3063224910835434e-35,True
BM25+ColBERT,Baseline_vs_WithContext,2,sequential_top2 - baseline,bleu,233,6.5100574983805264e-34,6.5100574983805264e-34,True
BM25+ColBERT,Baseline_vs_WithContext,2,sequential_top2 - baseline,bertscore,233,1.2878984388293236e-57,1.2878984388293236e-57,True
BM25+ColBERT,Baseline_vs_WithContext,3,sequential_top3 - baseline,rouge1,233,3.053564791431298e-54,3.053564791431298e-54,True
BM25+ColBERT,Baseline_vs_WithContext,3,sequential_top3 - baseline,rouge2,233,1.1294073371012874e-46,1.1294073371012874e-46,True
BM25+ColBERT,Baseline_vs_WithContext,3,sequential_top3 - baseline,rougeL,233,1.329226455266641e-37,1.329226455266641e-37,True
BM25+ColBERT,Baseline_vs_WithContext,3,sequential_top3 - baseline,bleu,233,6.614230661731022e-37,6.614230661731022e-37,True
BM25+ColBERT,Baseline_vs_WithContext,3,sequential_top3 - baseline,bertscore,233,1.013204952725267e-59,1.013204952725267e-59,True
BM25+ColBERT,Baseline_vs_WithContext,4,sequential_top4 - baseline,rouge1,233,7.95567719186106e-58,7.95567719186106e-58,True
BM25+ColBERT,Baseline_vs_WithContext,4,sequential_top4 - baseline,rouge2,233,1.054680635688439e-45,1.054680635688439e-45,True
BM25+ColBERT,Baseline_vs_WithContext,4,sequential_top4 - baseline,rougeL,233,1.57343366128086e-39,1.57343366128086e-39,True
